time,x,y,psi,speed,curvature
0,0,0,0.0314056,0,-0
0.01,0.0002,6.28319e-06,0.0314056,0.02,-6.19209e-09
0.02,0.0006,1.88496e-05,0.0314056,0.04,-1.85763e-08
0.03,0.0012,3.76991e-05,0.0314056,0.06,-3.71525e-08
0.04,0.002,6.28319e-05,0.0314056,0.08,-6.19209e-08
0.05,0.003,9.42478e-05,0.0314056,0.1,-9.28813e-08
0.06,0.0042,0.000131947,0.0314056,0.12,-1.30034e-07
0.07,0.0056,0.000175929,0.0314056,0.14,-1.73378e-07
0.08,0.0072,0.000226195,0.0314056,0.16,-2.22915e-07
0.09,0.009,0.000282743,0.0314056,0.18,-2.78644e-07
0.1,0.011,0.000345575,0.0314056,0.2,-3.40565e-07
0.11,0.0132,0.00041469,0.0314056,0.22,-4.08678e-07
0.12,0.0156,0.000490088,0.0314056,0.24,-4.82983e-07
0.13,0.0182,0.00057177,0.0314056,0.26,-5.6348e-07
0.14,0.021,0.000659734,0.0314056,0.28,-6.50169e-07
0.15,0.024,0.000753982,0.0314056,0.3,-7.4305e-07
0.16,0.0272,0.000854513,0.0314056,0.32,-8.42124e-07
0.17,0.0306,0.000961327,0.0314056,0.34,-9.47389e-07
0.18,0.0342,0.00107442,0.0314056,0.36,-1.05885e-06
0.19,0.038,0.0011938,0.0314056,0.38,-1.1765e-06
0.2,0.042,0.00131947,0.0314056,0.4,-1.30034e-06
0.21,0.0462,0.00145142,0.0314056,0.42,-1.43037e-06
0.22,0.0506,0.00158965,0.0314056,0.44,-1.5666e-06
0.23,0.0552,0.00173416,0.0314056,0.46,-1.70901e-06
0.24,0.06,0.00188495,0.0314055,0.48,-1.85762e-06
0.25,0.065,0.00204203,0.0314055,0.5,-2.01243e-06
0.26,0.0702,0.0022054,0.0314055,0.52,-2.17342e-06
0.27,0.0756,0.00237504,0.0314055,0.54,-2.34061e-06
0.28,0.0812,0.00255097,0.0314055,0.56,-2.51398e-06
0.29,0.087,0.00273318,0.0314055,0.58,-2.69355e-06
0.3,0.093,0.00292168,0.0314055,0.6,-2.87932e-06
0.31,0.0992,0.00311645,0.0314054,0.62,-3.07127e-06
0.32,0.1056,0.00331752,0.0314054,0.64,-3.26942e-06
0.33,0.1122,0.00352486,0.0314054,0.66,-3.47375e-06
0.34,0.119,0.00373849,0.0314054,0.68,-3.68428e-06
0.35,0.126,0.0039584,0.0314054,0.7,-3.901e-06
0.36,0.1332,0.00418459,0.0314053,0.72,-4.12392e-06
0.37,0.1406,0.00441706,0.0314053,0.74,-4.35302e-06
0.38,0.1482,0.00465582,0.0314053,0.76,-4.58832e-06
0.39,0.156,0.00490086,0.0314052,0.78,-4.82981e-06
0.4,0.164,0.00515219,0.0314052,0.8,-5.07749e-06
0.41,0.1722,0.0054098,0.0314051,0.82,-5.33136e-06
0.42,0.1806,0.00567369,0.0314051,0.84,-5.59142e-06
0.43,0.1892,0.00594386,0.031405,0.86,-5.85768e-06
0.44,0.198,0.00622031,0.031405,0.88,-6.13013e-06
0.45,0.207,0.00650305,0.0314049,0.9,-6.40876e-06
0.46,0.2162,0.00679207,0.0314049,0.92,-6.69359e-06
0.47,0.2256,0.00708737,0.0314048,0.94,-6.98462e-06
0.48,0.2352,0.00738896,0.0314047,0.96,-7.28183e-06
0.49,0.245,0.00769683,0.0314047,0.98,-7.58523e-06
0.5,0.255,0.00801098,0.0314046,1,-7.89483e-06
0.51,0.2652,0.00833141,0.0314045,1.02,-8.21061e-06
0.52,0.2756,0.00865812,0.0314044,1.04,-8.53259e-06
0.53,0.2862,0.00899112,0.0314043,1.06,-8.86076e-06
0.54,0.297,0.00933039,0.0314042,1.08,-9.19512e-06
0.55,0.308,0.00967595,0.0314041,1.1,-9.53567e-06
0.56,0.3192,0.0100278,0.031404,1.12,-9.88241e-06
0.57,0.3306,0.0103859,0.0314039,1.14,-1.02353e-05
0.58,0.3422,0.0107503,0.0314038,1.16,-1.05945e-05
0.59,0.354,0.011121,0.0314037,1.18,-1.09598e-05
0.6,0.366,0.011498,0.0314035,1.2,-1.13313e-05
0.61,0.3782,0.0118812,0.0314034,1.22,-1.1709e-05
0.62,0.3906,0.0122708,0.0314032,1.24,-1.20928e-05
0.63,0.4032,0.0126666,0.0314031,1.26,-1.24829e-05
0.64,0.416,0.0130687,0.0314029,1.28,-1.28792e-05
0.65,0.429,0.013477,0.0314027,1.3,-1.32816e-05
0.66,0.4422,0.0138917,0.0314026,1.32,-1.36903e-05
0.67,0.4556,0.0143126,0.0314024,1.34,-1.41051e-05
0.68,0.4692,0.0147398,0.0314022,1.36,-1.45261e-05
0.69,0.483,0.0151733,0.031402,1.38,-1.49533e-05
0.7,0.497,0.0156131,0.0314018,1.4,-1.53867e-05
0.71,0.5112,0.0160591,0.0314015,1.42,-1.58263e-05
0.72,0.5256,0.0165115,0.0314013,1.44,-1.62721e-05
0.73,0.5402,0.0169701,0.0314011,1.46,-1.6724e-05
0.74,0.555,0.017435,0.0314008,1.48,-1.71822e-05
0.75,0.57,0.0179061,0.0314006,1.5,-1.76465e-05
0.76,0.5852,0.0183836,0.0314003,1.52,-1.8117e-05
0.77,0.6006,0.0188673,0.0314,1.54,-1.85937e-05
0.78,0.6162,0.0193573,0.0313997,1.56,-1.90766e-05
0.79,0.632,0.0198536,0.0313994,1.58,-1.95657e-05
0.8,0.648,0.0203561,0.0313991,1.6,-2.0061e-05
0.81,0.6642,0.0208649,0.0313988,1.62,-2.05624e-05
0.82,0.6806,0.0213801,0.0313984,1.64,-2.10701e-05
0.83,0.6972,0.0219014,0.0313981,1.66,-2.15839e-05
0.84,0.714,0.0224291,0.0313977,1.68,-2.21039e-05
0.85,0.731,0.022963,0.0313973,1.7,-2.26301e-05
0.86,0.7482,0.0235032,0.0313969,1.72,-2.31625e-05
0.87,0.7656,0.0240497,0.0313965,1.74,-2.3701e-05
0.88,0.7832,0.0246025,0.0313961,1.76,-2.42458e-05
0.89,0.801,0.0251615,0.0313957,1.78,-2.47967e-05
0.9,0.819,0.0257268,0.0313952,1.8,-2.53538e-05
0.91,0.8372,0.0262984,0.0313947,1.82,-2.59171e-05
0.92,0.8556,0.0268762,0.0313943,1.84,-2.64866e-05
0.93,0.8742,0.0274604,0.0313938,1.86,-2.70622e-05
0.94,0.893,0.0280507,0.0313932,1.88,-2.76441e-05
0.95,0.912,0.0286474,0.0313927,1.9,-2.82321e-05
0.96,0.9312,0.0292503,0.0313922,1.92,-2.88263e-05
0.97,0.9506,0.0298595,0.0313916,1.94,-2.94266e-05
0.98,0.9702,0.030475,0.031391,1.96,-3.00332e-05
0.99,0.99,0.0310968,0.0313904,1.98,-3.06459e-05
1,1.01,0.0317248,0.0313898,2,-3.12648e-05
1.01,1.0302,0.032359,0.0313892,2.02,-3.18899e-05
1.02,1.0506,0.0329996,0.0313885,2.04,-3.25212e-05
1.03,1.0712,0.0336464,0.0313878,2.06,-3.31586e-05
1.04,1.092,0.0342995,0.0313871,2.08,-3.38022e-05
1.05,1.113,0.0349588,0.0313864,2.1,-3.4452e-05
1.06,1.1342,0.0356244,0.0313857,2.12,-3.5108e-05
1.07,1.1556,0.0362963,0.0313849,2.14,-3.57701e-05
1.08,1.1772,0.0369744,0.0313841,2.16,-3.64384e-05
1.09,1.199,0.0376588,0.0313833,2.18,-3.71129e-05
1.1,1.221,0.0383494,0.0313825,2.2,-3.77935e-05
1.11,1.2432,0.0390464,0.0313817,2.22,-3.84803e-05
1.12,1.2656,0.0397495,0.0313808,2.24,-3.91733e-05
1.13,1.2882,0.040459,0.0313799,2.26,-3.98724e-05
